customer_id,age,gender,city,income_bracket,loyalty_member,registration_date
C0093,18.0,F,Iasi,Medium,0,2024-02-17
C0094,32.0,,Arad,Low,0,2022-10-05
C0095,21.0,F,Bucuresti,Medium,0,2023-12-13
C0096,36.0,F,Bucuresti,Low,1,2022-05-01
C0097,22.0,M,Bucuresti,Medium,0,2024-07-07
C0098,47.0,F,Iasi,High,0,2022-08-21
C0099,24.0,F,Cluj-Napoca,Medium,0,2024-05-03
C0100,28.0,F,Galati,Medium,1,2024-02-27
C0101,,F,Timisoara,Medium,1,2024-07-19
C0102,19.0,M,Timisoara,Medium,0,2023-05-05
C0103,34.0,F,Bucuresti,High,0,2023-12-15
C0104,45.0,F,Baia Mare,Low,0,2023-01-28
C0105,18.0,F,Bucuresti,Medium,1,2022-08-13
C0106,33.0,F,Bucuresti,Medium,1,2023-04-03
C0107,34.0,M,Brasov,Medium,0,2022-07-28
C0108,39.0,M,Constanta,Medium,0,2024-07-31
C0109,19.0,F,Cluj-Napoca,Medium,0,2022-05-26
C0110,18.0,F,Cluj-Napoca,High,0,2023-08-13
C0111,37.0,M,Oradea,High,1,2023-09-15
C0112,34.0,M,Bucuresti,Medium,0,2023-06-28
C0113,34.0,M,Ploiesti,Medium,0,2023-10-17
C0114,35.0,M,Brasov,High,1,2022-06-13
C0115,25.0,F,Cluj-Napoca,Low,1,2023-07-13
C0116,,F,Timisoara,Low,0,2022-11-14
C0117,34.0,,Bucuresti,Medium,1,2024-06-24
C0118,24.0,M,Sibiu,High,0,2024-01-15
C0119,50.0,M,Iasi,High,1,2024-07-23
C0120,36.0,M,Bucuresti,Medium,1,2022-04-03
C0121,20.0,F,Constanta,Low,0,2022-11-12
C0122,38.0,F,Baia Mare,Medium,1,2022-08-23
C0123,22.0,F,Cluj-Napoca,Low,1,2022-03-11
C0124,39.0,M,Targu Mures,Low,0,2022-10-05
C0125,43.0,F,Bucuresti,Medium,0,2023-11-01
C0126,23.0,F,Bucuresti,Low,1,2022-09-24
C0127,,F,Bucuresti,High,0,2023-06-02
C0128,36.0,F,Cluj-Napoca,Medium,0,2024-05-08
C0129,40.0,M,Bucuresti,Medium,1,2023-11-15
C0130,50.0,M,Bucuresti,Low,1,2023-02-19
C0131,29.0,M,Pitesti,Medium,0,2023-01-30
C0132,24.0,M,Galati,Low,0,2023-04-15
C0133,23.0,M,Sibiu,High,0,2022-08-07
C0134,23.0,F,Bucuresti,High,0,2023-09-22
C0135,31.0,F,Bucuresti,Medium,0,2023-01-22
C0136,35.0,F,Bucuresti,Low,1,2024-04-06
C0137,34.0,M,Craiova,,0,2024-01-10
C0138,40.0,F,Targu Mures,Medium,0,2023-09-01
C0139,32.0,F,Cluj-Napoca,Low,0,2023-01-22
C0140,46.0,F,Bucuresti,,1,2022-09-05
C0141,29.0,F,Iasi,High,0,2024-01-28
C0142,59.0,F,Bucuresti,Low,0,2023-05-12
C0143,38.0,F,Bucuresti,Low,0,2022-09-19
C0144,23.0,M,Constanta,High,0,2022-08-23
C0145,21.0,,Craiova,Low,0,2022-07-27
C0146,36.0,M,Bucuresti,Low,0,2024-01-29
C0147,29.0,,Bucuresti,Medium,0,2022-09-23
C0148,39.0,M,Baia Mare,High,0,2023-06-17
C0149,36.0,F,Bucuresti,Medium,0,2023-04-11
C0150,31.0,F,Bucuresti,High,0,2023-08-04
C0151,23.0,F,Bucuresti,Medium,0,2024-04-28
C0152,,M,Bucuresti,Low,0,2024-04-19
C0153,27.0,F,Cluj-Napoca,High,0,2023-04-10
C0154,40.0,F,Ploiesti,Medium,0,2022-03-14
C0155,34.0,M,Bucuresti,Low,1,2023-03-19
C0156,19.0,F,Timisoara,Medium,0,2023-08-28
C0157,33.0,M,Brasov,Medium,0,2023-07-15
C0158,35.0,M,Iasi,Low,0,2023-10-08
C0159,23.0,F,Galati,Low,1,2022-07-17
C0160,33.0,M,Galati,Medium,1,2023-10-03
C0161,32.0,F,Bucuresti,High,0,2022-08-12
C0162,20.0,F,Oradea,Medium,0,2024-01-05
C0163,35.0,F,Timisoara,High,0,2022-12-31
C0164,37.0,M,Baia Mare,Low,0,2023-11-29
C0165,42.0,M,Timisoara,Low,0,2022-04-13
C0166,42.0,M,Baia Mare,Low,1,2023-03-03
C0167,18.0,F,Sibiu,Low,0,2023-11-25
C0168,22.0,M,Bucuresti,Low,1,2022-09-21
C0169,37.0,M,Iasi,Medium,0,2024-02-14
C0170,37.0,F,Baia Mare,High,1,2023-09-19
C0171,37.0,F,Galati,High,1,2023-08-11
C0172,70.0,,Bucuresti,Low,0,2023-01-13
C0173,37.0,F,Craiova,High,0,2023-05-09
C0174,43.0,F,Bucuresti,Medium,0,2023-08-20
C0175,41.0,M,Bucuresti,Low,0,2023-04-30
C0176,38.0,M,Cluj-Napoca,High,0,2023-11-19
C0177,28.0,F,Bucuresti,Medium,0,2023-03-26
C0178,39.0,F,Ploiesti,Low,0,2022-08-30
C0179,24.0,F,Bucuresti,Medium,1,2022-09-09
C0180,29.0,M,Ploiesti,Low,0,2022-03-06
C0181,27.0,M,Bucuresti,Medium,1,2022-11-26
C0182,32.0,M,Bucuresti,Medium,0,2024-01-04
C0183,55.0,M,Bucuresti,High,1,2024-02-13
C0184,18.0,M,Bucuresti,Low,0,2022-08-30
C0185,38.0,M,Bucuresti,Medium,0,2024-07-11
C0186,18.0,F,Bucuresti,Medium,1,2023-05-27
C0187,27.0,F,Iasi,Medium,0,2024-06-03
C0188,42.0,F,Bucuresti,Medium,1,2023-11-27
C0189,,F,Cluj-Napoca,Medium,0,2023-12-11
C0190,21.0,M,Cluj-Napoca,High,0,2022-05-16
C0191,24.0,F,Galati,High,0,2022-09-14
C0192,38.0,M,Pitesti,High,1,2022-03-08
C0193,24.0,F,Timisoara,High,0,2023-12-05
C0194,34.0,F,Bucuresti,Medium,1,2023-01-04
C0195,32.0,F,Bucuresti,High,1,2024-02-06
C0196,25.0,F,Arad,Medium,0,2022-12-31
C0197,53.0,F,Bucuresti,Medium,0,2024-03-07
C0198,38.0,M,Bucuresti,Medium,1,2022-06-26
C0199,18.0,M,Bucuresti,Medium,0,2022-08-04
C0200,33.0,F,Bucuresti,Low,0,2023-01-01
C0201,25.0,M,Bucuresti,High,0,2023-03-03
C0202,40.0,F,Oradea,Medium,0,2023-01-08
C0203,24.0,F,Bucuresti,Low,0,2024-01-17
C0204,30.0,M,Brasov,,0,2022-05-27
C0205,37.0,F,Bucuresti,Low,1,2023-01-11
C0206,40.0,F,Bucuresti,Low,0,2024-03-23
C0207,19.0,F,Pitesti,Low,0,2022-04-30
C0208,,F,Bucuresti,Medium,1,2024-06-26
C0209,,F,Ploiesti,Medium,1,2024-08-04
C0210,25.0,F,Iasi,Medium,1,2022-05-19
C0211,,F,Bucuresti,Medium,0,2022-11-18
C0212,36.0,M,Arad,Medium,1,2023-01-30
C0213,19.0,F,Bucuresti,Medium,0,2024-01-28
C0214,41.0,F,Galati,Medium,0,2023-08-19
C0215,53.0,M,Bucuresti,Medium,0,2023-10-01
C0216,42.0,F,Galati,Low,0,2024-01-11
C0217,18.0,F,Bucuresti,Low,1,2022-06-15
C0218,27.0,M,Iasi,Medium,0,2024-03-19
C0219,,F,Oradea,Medium,1,2023-11-26
C0220,24.0,F,Targu Mures,Low,1,2023-08-02
C0221,36.0,F,Pitesti,Low,0,2024-05-09
C0222,39.0,M,Ploiesti,High,0,2023-11-21
C0223,22.0,M,Pitesti,High,0,2022-08-29
C0224,31.0,M,Bucuresti,Medium,0,2023-03-22
C0225,18.0,F,Bucuresti,Medium,0,2023-05-19
C0226,21.0,M,Bucuresti,Medium,1,2022-04-19
C0227,29.0,F,Cluj-Napoca,High,0,2024-07-07
C0228,19.0,M,Cluj-Napoca,High,0,2022-06-24
C0229,48.0,M,Iasi,Low,1,2023-11-18
C0230,18.0,F,Bucuresti,High,0,2023-05-30
C0231,27.0,F,Craiova,Low,1,2022-03-24
C0232,33.0,M,Bucuresti,Low,0,2024-06-10
C0233,46.0,M,Bucuresti,Medium,0,2024-04-05
C0234,18.0,M,Timisoara,Medium,0,2023-06-15
C0235,43.0,,Oradea,High,0,2022-09-23
C0236,32.0,,Sibiu,,0,2022-06-18
C0237,22.0,M,Brasov,Medium,1,2023-01-22
C0238,36.0,M,Bucuresti,High,0,2022-10-16
C0239,33.0,M,Iasi,High,1,2023-05-31
C0240,25.0,F,Bucuresti,Low,0,2024-07-17
C0241,32.0,F,Cluj-Napoca,Medium,0,2023-07-31
C0242,28.0,M,Cluj-Napoca,Medium,0,2024-05-09
C0243,33.0,F,Bucuresti,Low,1,2023-10-07
C0244,38.0,M,Bucuresti,High,0,2023-05-02
C0245,47.0,M,Arad,High,0,2024-04-08
C0246,19.0,F,Arad,Low,1,2023-04-29
C0247,53.0,F,Bucuresti,Low,0,2024-04-20
C0248,18.0,F,Bucuresti,Low,1,2022-11-18
C0249,30.0,F,Bucuresti,High,0,2022-06-24
C0250,37.0,M,Cluj-Napoca,Low,1,2024-04-08
C0251,34.0,,Arad,,1,2023-08-11
C0252,25.0,M,Bucuresti,Medium,1,2024-05-09
C0253,29.0,F,Oradea,Medium,0,2024-06-22
C0254,27.0,M,Bucuresti,Low,0,2022-04-18
C0255,26.0,F,Baia Mare,Low,1,2023-05-25
C0256,40.0,M,Cluj-Napoca,High,0,2023-02-01
C0257,35.0,M,Oradea,High,0,2023-09-15
C0258,25.0,F,Bucuresti,Medium,1,2024-02-13
C0259,40.0,M,Constanta,Low,0,2022-11-08
C0260,35.0,F,Bucuresti,Medium,0,2023-07-15
C0261,40.0,M,Bucuresti,Medium,0,2023-11-28
C0262,38.0,M,Targu Mures,Low,0,2022-06-29
C0263,23.0,M,Pitesti,,0,2024-03-02
C0264,26.0,M,Pitesti,Medium,1,2023-08-28
C0265,39.0,F,Constanta,Low,0,2024-07-02
C0266,38.0,M,Ploiesti,High,1,2022-12-31
C0267,,F,Bucuresti,High,1,2022-06-06
C0268,33.0,F,Bucuresti,Low,1,2023-05-30
C0269,44.0,M,Bucuresti,Medium,0,2022-05-17
C0270,,F,Brasov,Medium,1,2024-07-20
C0271,37.0,F,Bucuresti,Medium,0,2022-04-04
C0272,29.0,F,Bucuresti,Low,0,2024-01-08
C0273,29.0,M,Constanta,Medium,1,2023-06-16
C0274,42.0,M,Ploiesti,High,0,2023-01-26
C0275,40.0,F,Cluj-Napoca,Medium,1,2022-04-29
C0276,40.0,F,Bucuresti,Low,0,2023-09-11
C0277,45.0,F,Bucuresti,Medium,1,2023-08-09
C0278,32.0,M,Bucuresti,Medium,0,2022-11-08
C0279,38.0,F,Bucuresti,High,1,2024-05-28
C0280,,F,Brasov,Medium,0,2022-11-29
C0281,35.0,F,Constanta,Low,0,2023-04-09
C0282,30.0,M,Craiova,Low,0,2023-07-03
C0283,32.0,F,Bucuresti,Medium,0,2022-05-30
C0284,37.0,M,Ploiesti,Low,0,2024-06-16
C0285,23.0,M,Bucuresti,Medium,0,2023-02-01
C0286,52.0,F,Timisoara,Low,0,2022-05-12
C0287,21.0,M,Oradea,Medium,0,2023-02-12
C0288,19.0,M,Bucuresti,Medium,0,2023-08-23
C0289,43.0,M,Bucuresti,High,1,2023-06-06
C0290,39.0,F,Galati,High,1,2023-11-16
C0291,38.0,F,Bucuresti,Low,1,2022-04-19
C0292,38.0,M,Craiova,Medium,1,2022-11-12
C0293,31.0,F,Bucuresti,Low,0,2024-03-07
C0294,23.0,F,Craiova,Medium,0,2022-05-11
C0295,32.0,M,Bucuresti,Medium,0,2024-04-08
C0296,25.0,F,Bucuresti,High,1,2022-05-22
C0297,41.0,F,Constanta,High,1,2024-03-21
C0298,30.0,F,Bucuresti,Medium,0,2023-01-19
C0299,23.0,M,Cluj-Napoca,Medium,0,2023-09-02
C0300,28.0,F,Bucuresti,High,0,2022-07-16
C0301,36.0,F,Bucuresti,High,0,2022-04-29
C0302,26.0,M,Bucuresti,Low,0,2022-09-11
C0303,23.0,M,Bucuresti,Medium,0,2022-06-24
C0304,34.0,M,Pitesti,Medium,1,2022-12-07
C0305,34.0,M,Bucuresti,Low,0,2023-06-06
C0306,26.0,F,Timisoara,Low,1,2023-08-12
C0307,27.0,M,Bucuresti,Low,1,2024-02-09
C0308,34.0,M,Bucuresti,Medium,1,2023-10-12
C0309,18.0,F,Targu Mures,Low,1,2023-08-30
C0310,,M,Bucuresti,Low,1,2023-03-06
C0311,24.0,F,Arad,Low,1,2023-05-01
C0312,29.0,M,Bucuresti,High,1,2023-03-09
C0313,35.0,,Sibiu,High,0,2024-03-27
C0314,46.0,M,Iasi,Medium,1,2022-09-24
C0315,40.0,M,Galati,Medium,1,2022-03-06
C0316,30.0,M,Iasi,High,1,2023-10-08
C0317,31.0,F,Iasi,Low,1,2022-08-30
C0318,21.0,F,Bucuresti,Low,0,2024-05-10
C0319,,M,Bucuresti,Low,0,2024-04-12
C0320,29.0,F,Pitesti,Low,0,2022-05-09
C0321,35.0,F,Bucuresti,Medium,0,2022-06-04
C0322,23.0,F,Bucuresti,High,1,2023-05-20
C0323,,M,Sibiu,Medium,0,2023-08-31
C0324,47.0,M,Bucuresti,Medium,0,2022-11-03
C0325,30.0,M,Arad,High,0,2023-12-06
C0326,36.0,F,Sibiu,Low,0,2023-08-18
C0327,38.0,F,Constanta,Low,1,2022-12-18
C0328,27.0,M,Galati,Medium,1,2022-03-23
C0329,34.0,M,Bucuresti,Medium,0,2024-01-05
C0330,32.0,,Bucuresti,Low,0,2022-09-10
C0331,32.0,F,Timisoara,Medium,0,2024-03-21
C0332,24.0,F,Bucuresti,Medium,0,2023-03-14
C0333,32.0,F,Sibiu,Medium,0,2023-08-02
C0334,36.0,M,Targu Mures,Medium,1,2024-04-24
C0335,46.0,F,Cluj-Napoca,Medium,0,2024-04-16
C0336,41.0,F,Bucuresti,Low,0,2023-01-29
C0337,53.0,M,Arad,Medium,0,2022-09-05
C0338,24.0,F,Timisoara,Low,1,2024-01-27
C0339,40.0,F,Timisoara,High,1,2023-03-25
C0340,33.0,M,Bucuresti,Medium,1,2022-08-20
C0341,53.0,F,Pitesti,Medium,0,2024-05-22
C0342,23.0,F,Iasi,Medium,1,2022-08-26
C0343,23.0,F,Oradea,Medium,0,2022-03-24
C0344,26.0,M,Ploiesti,Medium,0,2022-03-19
C0345,18.0,M,Bucuresti,High,0,2023-09-12
C0346,26.0,F,Cluj-Napoca,High,0,2023-10-17
C0347,24.0,M,Galati,Medium,1,2022-12-05
C0348,33.0,F,Bucuresti,Low,1,2022-12-14
C0349,35.0,F,Oradea,Medium,0,2022-12-31
C0350,50.0,M,Targu Mures,Medium,1,2023-11-03
C0351,41.0,F,Constanta,Low,1,2022-04-22
C0352,26.0,F,Sibiu,Low,1,2024-06-14
C0353,23.0,M,Ploiesti,High,0,2022-09-17
C0354,36.0,F,Galati,Low,0,2024-08-16
C0355,18.0,F,Cluj-Napoca,Medium,0,2022-08-02
C0356,50.0,F,Bucuresti,Medium,1,2024-01-24
C0357,43.0,F,Cluj-Napoca,Medium,0,2022-09-18
C0358,27.0,F,Brasov,Low,0,2022-05-12
C0359,18.0,F,Timisoara,High,0,2024-04-26
C0360,45.0,F,Sibiu,Medium,0,2024-04-11
C0361,30.0,F,Bucuresti,Medium,1,2023-02-27
C0362,44.0,F,Brasov,Medium,1,2023-11-23
C0363,18.0,M,Bucuresti,Medium,1,2023-07-15
C0364,26.0,F,Sibiu,High,1,2024-04-06
C0365,32.0,,Iasi,Medium,0,2022-12-09
C0366,32.0,M,Bucuresti,Medium,0,2023-06-15
C0367,27.0,M,Bucuresti,High,0,2023-05-11
C0368,38.0,F,Sibiu,Medium,0,2023-01-13
C0369,21.0,F,Timisoara,Low,0,2024-05-11
C0370,,F,Bucuresti,Low,1,2022-07-28
C0371,33.0,F,Arad,High,0,2022-07-13
C0372,37.0,F,Craiova,Medium,1,2023-08-02
C0373,39.0,F,Arad,Medium,0,2023-10-13
C0374,20.0,F,Cluj-Napoca,Medium,0,2022-08-23
C0375,18.0,M,Timisoara,Low,0,2023-02-15
C0376,44.0,M,Pitesti,Medium,0,2024-06-29
C0377,,F,Iasi,Low,0,2022-10-08
C0378,24.0,F,Craiova,Medium,0,2023-10-23
C0379,47.0,,Bucuresti,Medium,0,2023-12-27
C0380,33.0,M,Timisoara,Medium,0,2023-04-08
C0381,43.0,F,Bucuresti,Medium,0,2024-06-21
C0382,32.0,M,Bucuresti,High,1,2023-12-23
C0383,52.0,F,Bucuresti,Medium,1,2023-04-17
C0384,49.0,F,Bucuresti,Low,0,2023-07-26
C0385,29.0,M,Baia Mare,Low,1,2023-11-14
C0386,,,Bucuresti,Medium,1,2023-08-15
C0387,38.0,F,Brasov,High,1,2024-04-29
C0388,45.0,F,Ploiesti,High,0,2023-01-16
C0389,22.0,F,Iasi,High,0,2022-11-25
C0390,38.0,F,Bucuresti,Medium,1,2022-09-09
C0391,42.0,M,Craiova,Medium,0,2022-04-04
C0392,18.0,F,Constanta,Medium,1,2022-04-08
C0393,20.0,F,Sibiu,Low,1,2024-04-22
C0394,18.0,F,Oradea,Low,0,2023-11-01
C0395,29.0,M,Arad,High,0,2023-10-16
C0396,39.0,F,Constanta,Low,0,2023-09-05
C0397,47.0,F,Bucuresti,Low,0,2024-04-03
C0398,32.0,M,Brasov,Low,0,2023-05-07
C0399,48.0,M,Bucuresti,High,0,2024-04-22
C0400,18.0,F,Pitesti,Medium,0,2023-01-18
C0401,18.0,M,Bucuresti,Medium,0,2024-06-12
C0402,31.0,M,Bucuresti,High,1,2023-11-19
C0403,35.0,M,Ploiesti,Medium,0,2022-10-18
C0404,31.0,F,Constanta,,1,2023-07-21
C0405,18.0,F,Cluj-Napoca,Low,1,2023-06-23
C0406,31.0,F,Timisoara,Low,0,2022-07-03
C0407,18.0,M,Galati,High,1,2023-08-15
C0408,38.0,F,Bucuresti,Medium,0,2022-12-09
C0409,35.0,F,Galati,Medium,1,2022-04-17
C0410,22.0,F,Bucuresti,Medium,0,2024-07-01
C0411,26.0,F,Oradea,Medium,0,2023-09-29
C0412,21.0,M,Galati,Low,0,2024-04-28
C0413,,F,Bucuresti,Low,0,2023-10-30
C0414,41.0,M,Cluj-Napoca,Low,0,2023-01-16
C0415,22.0,F,Bucuresti,Low,0,2023-06-05
C0416,,M,Craiova,High,0,2023-10-30
C0417,26.0,M,Iasi,Low,0,2024-07-12
C0418,24.0,M,Brasov,Low,0,2022-10-15
C0419,30.0,F,Bucuresti,Medium,0,2024-04-26
C0420,21.0,M,Bucuresti,High,0,2024-06-09
C0421,26.0,F,Bucuresti,Low,0,2023-10-25
C0422,20.0,,Bucuresti,Low,1,2024-06-16
C0423,51.0,M,Iasi,Medium,0,2023-02-22
C0424,32.0,F,Galati,Medium,1,2024-07-05
C0425,25.0,M,Brasov,Medium,0,2023-11-23
C0426,34.0,M,Cluj-Napoca,High,1,2022-04-07
C0427,30.0,F,Arad,High,0,2024-05-25
C0428,29.0,M,Craiova,Medium,0,2023-05-11
C0429,38.0,M,Targu Mures,Medium,0,2023-04-19
C0430,39.0,M,Iasi,Medium,0,2023-07-23
C0431,26.0,F,Bucuresti,Low,0,2022-07-13
C0432,26.0,F,Bucuresti,High,0,2023-04-27
C0433,29.0,F,Craiova,Medium,1,2024-03-18
C0434,18.0,F,Bucuresti,Low,0,2022-03-14
C0435,18.0,M,Bucuresti,Medium,0,2022-11-01
C0436,45.0,M,Iasi,Low,1,2022-03-03
C0437,48.0,F,Iasi,Medium,0,2023-03-10
C0438,29.0,,Constanta,Medium,1,2023-12-16
C0439,37.0,M,Bucuresti,Medium,0,2024-02-17
C0440,35.0,M,Cluj-Napoca,High,1,2024-06-28
C0441,62.0,M,Constanta,Low,0,2023-08-30
C0442,43.0,F,Arad,Medium,1,2022-10-16
C0443,30.0,M,Craiova,,1,2024-06-09
C0444,22.0,F,Targu Mures,Medium,0,2024-01-27
C0445,18.0,M,Oradea,Medium,0,2023-07-30
C0446,34.0,F,Constanta,Medium,0,2023-11-17
C0447,24.0,M,Bucuresti,Medium,1,2024-06-09
C0448,18.0,M,Brasov,Low,0,2023-12-02
C0449,,F,Constanta,High,0,2023-01-26
C0450,21.0,F,Constanta,Medium,0,2023-12-02
C0451,48.0,M,Timisoara,Medium,0,2022-04-06
C0452,40.0,M,Iasi,Low,0,2023-02-11
C0453,31.0,M,Bucuresti,Low,1,2023-03-01
C0454,46.0,M,Iasi,Medium,0,2022-07-29
C0455,32.0,M,Bucuresti,High,1,2022-03-21
C0456,23.0,F,Ploiesti,Medium,0,2022-06-29
C0457,47.0,M,Bucuresti,High,0,2023-10-11
C0458,37.0,M,Bucuresti,Medium,0,2024-02-21
C0459,21.0,,Cluj-Napoca,Medium,0,2024-08-06
C0460,30.0,F,Brasov,Low,1,2023-01-06
C0461,23.0,F,Cluj-Napoca,High,1,2023-08-22
C0462,18.0,M,Bucuresti,Low,0,2024-06-21
C0463,41.0,M,Iasi,High,0,2022-07-29
C0464,51.0,F,Bucuresti,High,0,2023-12-06
C0465,18.0,M,Targu Mures,High,1,2024-01-09
C0466,37.0,M,Targu Mures,Medium,1,2022-05-20
C0467,25.0,F,Timisoara,Medium,1,2024-04-14
C0468,27.0,F,Bucuresti,Medium,0,2024-03-01
C0469,26.0,F,Sibiu,Low,0,2022-03-31
C0470,23.0,M,Bucuresti,Medium,0,2022-05-21
C0471,32.0,M,Timisoara,Low,0,2022-04-14
C0472,23.0,F,Bucuresti,Medium,0,2022-12-27
C0473,34.0,M,Targu Mures,Low,0,2023-06-02
C0474,31.0,F,Bucuresti,Low,0,2023-06-23
C0475,29.0,F,Iasi,Medium,1,2022-10-27
C0476,22.0,F,Sibiu,Medium,1,2024-05-29
C0477,26.0,M,Timisoara,Medium,0,2023-01-26
C0478,39.0,M,Bucuresti,Low,0,2022-04-10
C0479,37.0,F,Arad,Medium,0,2022-11-26
C0480,22.0,F,Iasi,Low,1,2023-06-21
C0481,32.0,F,Constanta,Medium,1,2023-03-03
C0482,39.0,M,Bucuresti,Medium,1,2022-11-02
C0483,18.0,M,Timisoara,Medium,1,2022-06-27
C0484,37.0,F,Cluj-Napoca,Medium,0,2024-03-07
C0485,25.0,F,Bucuresti,Medium,0,2024-08-13
C0486,37.0,F,Bucuresti,Medium,0,2022-12-22
C0487,,M,Ploiesti,Medium,0,2023-02-07
C0488,18.0,F,Bucuresti,Medium,1,2023-09-08
C0489,18.0,F,Bucuresti,Medium,0,2023-12-07
C0490,,F,Timisoara,Low,0,2023-02-16
C0491,34.0,M,Oradea,Medium,0,2024-05-23
