transaction_id,store_id,product_id,customer_id,date,quantity,unit_price,discount,total_revenue
T00095,S014,P002,,2024-08-20,1,12.29,0.0,12.29
T00096,S004,P022,C0921,2023-04-04,1,16.62,0.0,16.62
T00097,S013,P009,C1330,2024-08-21,1,19.83,0.0,19.83
T00098,S001,P017,C1382,2024-12-29,1,11.71,0.05,11.12
T00099,S004,P013,C1700,2023-07-18,1,14.22,0.0,14.22
T00100,S013,P030,C1015,2024-09-11,1,49.42,0.0,49.42
T00101,S008,P019,C0617,2024-09-30,1,13.72,0.0,13.72
T00102,S011,P005,C0999,2024-11-30,2,15.3,0.0,30.6
T00103,S003,P003,C1789,2023-10-14,1,13.99,0.0,13.99
T00104,S001,P018,C1102,2022-05-17,2,11.16,0.0,22.32
T00105,S015,P028,,2024-12-26,1,66.06,0.0,66.06
T00106,S001,P026,C0053,2022-09-07,1,26.2,0.0,26.2
T00107,S009,P024,C1392,2024-01-18,1,19.23,0.0,19.23
T00108,S006,P021,C1350,2023-05-15,1,12.56,0.0,12.56
T00109,S014,P015,C0171,2024-07-14,1,13.15,0.0,13.15
T00110,S015,P022,C1142,2024-12-30,1,15.54,0.0,15.54
T00111,S012,P023,,2024-12-02,1,21.11,0.0,21.11
T00112,S006,P004,C1717,2024-06-25,1,14.26,0.0,14.26
T00113,S008,P009,C1122,2024-09-14,1,19.41,0.0,19.41
T00114,S005,P004,C0678,2023-08-19,1,15.15,0.0,15.15
T00115,S013,P025,C0501,2024-07-11,1,25.0,0.0,25.0
T00116,S014,P003,C1659,2024-08-04,2,14.66,0.1,26.39
T00117,S004,P021,C0208,2023-12-26,2,12.55,0.0,25.1
T00118,S011,P009,,2024-12-02,1,19.56,0.05,18.58
T00119,S014,P003,C1676,2024-04-02,2,13.51,0.0,27.02
T00120,S011,P022,C0354,2024-12-04,3,15.88,0.0,47.64
T00121,S014,P021,C1329,2024-09-22,1,13.05,0.0,13.05
T00122,S007,P009,,2024-01-28,2,18.76,0.0,37.52
T00123,S007,P007,C1775,2023-06-09,1,18.17,0.0,18.17
T00124,S014,P020,C1859,2024-08-19,1,17.18,0.15,14.6
T00125,S007,P004,,2024-11-11,2,15.73,0.0,31.46
T00126,S005,P005,C1841,2024-10-05,1,16.29,0.0,16.29
T00127,S007,P001,,2024-09-14,2,8.01,0.0,16.02
T00128,S006,P003,C1887,2024-12-25,1,14.57,0.0,14.57
T00129,S013,P020,,2024-09-29,1,17.82,0.0,17.82
T00130,S009,P015,C1583,2024-10-24,1,13.26,0.0,13.26
T00131,S003,P007,C0823,2023-04-28,1,17.19,0.0,17.19
T00132,S004,P007,C0357,2023-09-13,1,17.53,0.0,17.53
T00133,S013,P024,C0556,2024-11-11,2,19.56,0.0,39.12
T00134,S006,P017,C0624,2023-12-13,1,12.4,0.0,12.4
T00135,S015,P024,C1647,2024-12-28,1,19.51,0.0,19.51
T00136,S013,P025,C1986,2024-07-14,1,25.31,0.0,25.31
T00137,S015,P003,C0998,2024-12-29,1,13.44,0.0,13.44
T00138,S005,P007,C0846,2023-08-17,1,17.97,0.0,17.97
T00139,S014,P020,C0170,2024-11-02,1,18.74,0.15,15.93
T00140,S004,P021,C1613,2024-08-11,3,13.36,0.0,40.08
T00141,S011,P019,C1968,2024-12-22,1,14.48,0.0,14.48
T00142,S001,P014,C1418,2022-02-16,3,12.57,0.0,37.71
T00143,S006,P009,C0134,2024-12-22,1,19.5,0.0,19.5
T00144,S014,P008,,2024-09-20,1,17.79,0.0,17.79
T00145,S015,P006,C1664,2024-12-25,1,10.21,0.0,10.21
T00146,S009,P008,,2024-04-04,1,16.59,0.0,16.59
T00147,S006,P007,C0922,2024-08-12,1,18.49,0.05,17.57
T00148,S015,P020,C0955,2024-12-27,1,18.82,0.0,18.82
T00149,S004,P007,C1501,2023-03-19,2,18.54,0.0,37.08
T00150,S014,P006,C1459,2023-12-11,2,9.74,0.05,18.51
T00151,S014,P009,C0612,2024-08-06,2,18.91,0.15,32.15
T00152,S013,P018,,2024-09-22,1,10.79,0.0,10.79
T00153,S014,P016,C0298,2024-05-30,1,10.05,0.0,10.05
T00154,S003,P005,C1711,2024-06-10,1,16.65,0.0,16.65
T00155,S001,P006,,2022-12-21,1,10.21,0.0,10.21
T00156,S004,P020,C1840,2023-08-11,1,17.66,0.0,17.66
T00157,S004,P020,,2024-07-14,1,17.45,0.0,17.45
T00158,S013,P024,,2024-12-09,1,20.19,0.0,20.19
T00159,S013,P003,C0761,2024-12-24,1,13.57,0.1,12.21
T00160,S009,P009,C0056,2024-10-06,2,19.24,0.0,38.48
T00161,S006,P001,C0965,2023-01-06,1,7.66,0.0,7.66
T00162,S004,P005,C1776,2023-03-01,3,16.01,0.0,48.03
T00163,S011,P002,C0700,2024-12-01,1,11.73,0.0,11.73
T00164,S014,P008,C1280,2023-12-23,2,16.26,0.0,32.52
T00165,S006,P019,C1181,2022-07-02,3,14.26,0.0,42.78
T00166,S001,P009,C1931,2022-06-14,1,19.41,0.0,19.41
T00167,S015,P001,C1730,2024-12-28,1,8.2,0.0,8.2
T00168,S004,P002,C0870,2024-07-25,1,11.63,0.0,11.63
T00169,S005,P014,C0294,2022-12-11,1,11.41,0.0,11.41
T00170,S011,P021,C1970,2024-11-24,1,12.48,0.1,11.23
T00171,S005,P010,C0641,2023-09-07,1,16.27,0.0,16.27
T00172,S013,P016,C1490,2024-11-27,2,9.98,0.15,16.97
T00173,S015,P020,C0679,2024-12-26,1,18.11,0.0,18.11
T00174,S011,P007,,2024-12-03,1,18.89,0.0,18.89
T00175,S001,P001,C1799,2024-01-22,1,8.2,0.0,8.2
T00176,S014,P001,C0528,2024-07-11,1,7.78,0.0,7.78
T00177,S014,P002,C1308,2023-12-21,1,12.51,0.0,12.51
T00178,S011,P004,C1862,2024-12-11,1,15.59,0.0,15.59
T00179,S004,P009,,2024-10-16,1,19.67,0.0,19.67
T00180,S003,P004,C1487,2024-02-21,1,14.29,0.0,14.29
T00181,S015,P002,C1827,2024-12-29,1,12.46,0.0,12.46
T00182,S004,P022,C0699,2022-11-25,1,15.85,0.0,15.85
T00183,S015,P001,,2024-12-25,2,8.16,0.0,16.32
T00184,S013,P021,C1265,2024-10-26,1,12.43,0.15,10.57
T00185,S003,P006,C1319,2024-08-31,1,10.26,0.0,10.26
T00186,S006,P001,C1042,2022-09-03,1,7.98,0.0,7.98
T00187,S003,P023,C0042,2024-05-09,3,20.93,0.0,62.79
T00188,S009,P016,,2023-12-24,1,10.25,0.0,10.25
T00189,S009,P018,C0993,2023-09-08,1,11.23,0.0,11.23
T00190,S003,P010,C1454,2023-10-20,2,16.76,0.05,31.84
T00191,S013,P017,,2024-08-16,1,12.08,0.0,12.08
T00192,S004,P002,C0783,2023-05-16,2,11.94,0.1,21.49
T00193,S001,P008,C1959,2022-08-07,1,17.31,0.05,16.44
T00194,S009,P025,C1804,2024-02-28,2,25.02,0.0,50.04
T00195,S004,P024,C0829,2024-08-21,1,20.69,0.05,19.66
T00196,S001,P003,C0981,2024-05-27,1,13.73,0.0,13.73
T00197,S006,P019,C0921,2023-07-04,1,13.94,0.0,13.94
T00198,S006,P027,C1499,2022-07-20,2,44.59,0.0,89.18
T00199,S005,P018,C1848,2024-05-15,2,10.62,0.1,19.12
T00200,S011,P017,,2024-12-22,1,11.87,0.0,11.87
T00201,S005,P023,C1268,2024-04-29,1,22.26,0.1,20.03
T00202,S014,P026,C0161,2024-11-15,1,25.68,0.0,25.68
T00203,S009,P012,C0437,2024-11-29,1,10.22,0.0,10.22
T00204,S004,P006,C1551,2024-11-29,1,9.6,0.0,9.6
T00205,S010,P006,C1081,2023-05-18,1,9.88,0.1,8.89
T00206,S001,P017,C0854,2024-05-20,1,11.85,0.0,11.85
T00207,S001,P011,,2024-02-26,1,10.4,0.0,10.4
T00208,S014,P020,C1126,2024-10-05,1,18.04,0.0,18.04
T00209,S013,P008,C0205,2024-11-29,1,16.44,0.15,13.97
T00210,S001,P020,C0155,2024-07-27,3,18.87,0.0,56.61
T00211,S001,P015,C0027,2024-03-31,1,12.79,0.0,12.79
T00212,S014,P008,C0157,2024-06-01,2,17.79,0.0,35.58
T00213,S003,P010,C1823,2023-10-13,2,16.34,0.0,32.68
T00214,S015,P026,,2024-12-25,1,27.91,0.0,27.91
T00215,S013,P015,C0862,2024-08-07,3,13.64,0.0,40.92
T00216,S015,P020,C0961,2024-12-28,1,18.39,0.0,18.39
T00217,S014,P001,C1353,2024-04-07,1,8.4,0.0,8.4
T00218,S003,P022,C1370,2024-10-16,1,15.57,0.0,15.57
T00219,S015,P005,,2024-12-26,1,15.87,0.0,15.87
T00220,S007,P006,,2023-08-17,1,9.68,0.0,9.68
T00221,S006,P020,,2023-07-17,2,17.52,0.0,35.04
T00222,S006,P010,C0145,2022-11-26,1,15.73,0.0,15.73
T00223,S013,P030,C1321,2024-11-08,1,51.65,0.0,51.65
T00224,S015,P001,C1905,2024-12-25,1,7.87,0.0,7.87
T00225,S015,P028,,2024-12-25,3,64.85,0.0,194.55
T00226,S007,P005,,2023-01-06,1,16.07,0.0,16.07
T00227,S005,P021,C0798,2022-10-06,1,13.0,0.0,13.0
T00228,S003,P014,C0072,2023-08-11,2,12.34,0.0,24.68
T00229,S011,P013,C1088,2024-11-17,1,14.58,0.0,14.58
T00230,S013,P006,,2024-08-08,2,9.67,0.0,19.34
T00231,S005,P008,C0672,2023-12-22,1,17.47,0.0,17.47
T00232,S001,P007,C1643,2024-03-27,1,17.79,0.05,16.9
T00233,S005,P013,C1847,2024-05-07,1,14.35,0.1,12.92
T00234,S008,P008,C1328,2024-05-07,2,17.67,0.0,35.34
T00235,S010,P002,C0652,2022-12-24,1,12.27,0.0,12.27
T00236,S010,P019,C1681,2024-05-27,2,14.04,0.0,28.08
T00237,S003,P002,C0196,2022-08-06,1,11.74,0.0,11.74
T00238,S004,P024,C1669,2024-04-30,1,20.55,0.0,20.55
T00239,S014,P009,C1193,2024-03-24,1,18.67,0.0,18.67
T00240,S008,P009,C0474,2024-09-13,1,18.71,0.0,18.71
T00241,S009,P008,C1199,2024-07-05,2,17.04,0.0,34.08
T00242,S004,P014,C1022,2023-09-15,1,12.22,0.0,12.22
T00243,S014,P018,C0218,2023-12-31,1,11.12,0.0,11.12
T00244,S004,P008,C1929,2024-10-03,1,17.79,0.0,17.79
T00245,S001,P011,,2023-05-12,1,10.46,0.0,10.46
T00246,S005,P016,,2024-02-14,1,9.69,0.0,9.69
T00247,S010,P016,,2023-03-15,1,10.06,0.0,10.06
T00248,S010,P007,C0925,2023-05-10,1,18.9,0.0,18.9
T00249,S006,P024,,2023-04-25,1,19.71,0.0,19.71
T00250,S005,P006,C0990,2022-11-03,1,10.18,0.0,10.18
T00251,S001,P016,,2022-09-10,1,9.91,0.0,9.91
T00252,S013,P014,C0561,2024-11-12,2,12.55,0.1,22.59
T00253,S015,P017,C1673,2024-12-28,2,11.74,0.0,23.48
T00254,S015,P003,C0136,2024-12-28,1,13.37,0.1,12.03
T00255,S014,P013,C0573,2024-09-26,2,14.21,0.05,27.0
T00256,S008,P026,,2024-07-20,1,27.31,0.0,27.31
T00257,S014,P006,C1122,2024-06-11,1,9.58,0.0,9.58
T00258,S009,P021,C0404,2024-12-19,1,12.7,0.1,11.43
T00259,S006,P017,C1958,2023-01-18,1,12.47,0.0,12.47
T00260,S004,P007,C0501,2024-05-26,2,17.38,0.0,34.76
T00261,S001,P010,C0194,2022-12-26,1,15.95,0.0,15.95
T00262,S011,P005,C0139,2024-12-04,1,16.3,0.0,16.3
T00263,S001,P001,C0344,2022-04-09,1,7.98,0.0,7.98
T00264,S007,P004,C0582,2023-06-02,1,15.46,0.15,13.14
T00265,S008,P024,C1308,2023-12-07,1,19.2,0.0,19.2
T00266,S009,P013,C1918,2024-03-06,3,14.52,0.0,43.56
T00267,S005,P022,C1054,2022-10-20,3,15.38,0.0,46.14
T00268,S010,P006,C1059,2023-03-23,3,10.11,0.0,30.33
T00269,S004,P017,C1648,2022-12-25,3,11.49,0.05,32.75
T00270,S006,P003,C1742,2023-12-29,1,13.59,0.0,13.59
T00271,S003,P007,C1222,2023-04-06,1,17.13,0.0,17.13
T00272,S014,P014,,2024-03-18,1,12.0,0.0,12.0
T00273,S007,P008,C1540,2024-08-30,1,17.8,0.0,17.8
T00274,S006,P001,C0823,2024-12-15,1,8.15,0.0,8.15
T00275,S006,P026,C0078,2024-01-15,1,27.89,0.0,27.89
T00276,S011,P028,C1316,2024-12-04,1,67.11,0.0,67.11
T00277,S009,P006,C1577,2024-01-01,1,9.74,0.0,9.74
T00278,S013,P004,C1911,2024-11-10,1,15.0,0.0,15.0
T00279,S011,P008,C0565,2024-12-15,2,16.35,0.1,29.43
T00280,S012,P015,C1392,2024-12-28,1,13.11,0.0,13.11
T00281,S009,P009,C1017,2024-01-18,2,18.6,0.0,37.2
T00282,S007,P019,C0472,2023-03-02,1,13.9,0.0,13.9
T00283,S003,P005,C1611,2024-08-19,1,16.2,0.1,14.58
T00284,S004,P012,C0081,2022-12-08,1,10.4,0.0,10.4
T00285,S013,P003,C0466,2024-07-28,1,14.43,0.0,14.43
T00286,S014,P025,C1086,2024-04-19,1,24.35,0.0,24.35
T00287,S006,P011,C1143,2024-08-03,1,10.5,0.0,10.5
T00288,S005,P007,C0886,2023-11-16,1,17.75,0.0,17.75
T00289,S001,P022,C0038,2023-06-10,1,15.62,0.0,15.62
T00290,S015,P021,C1396,2024-12-29,2,13.58,0.0,27.16
T00291,S001,P020,C0301,2022-11-25,2,18.65,0.0,37.3
T00292,S001,P002,C1990,2022-07-04,2,12.1,0.0,24.2
T00293,S002,P003,C1541,2022-09-21,2,14.64,0.0,29.28
T00294,S013,P005,,2024-12-18,2,16.36,0.0,32.72
T00295,S009,P014,C0047,2024-07-09,2,12.15,0.0,24.3
T00296,S004,P017,C1493,2022-11-29,1,12.54,0.0,12.54
T00297,S003,P011,,2024-01-11,1,10.08,0.0,10.08
T00298,S003,P017,C1817,2022-08-03,2,11.62,0.0,23.24
T00299,S009,P014,C1835,2023-12-29,1,11.47,0.0,11.47
T00300,S007,P017,,2023-08-13,2,12.04,0.0,24.08
T00301,S012,P002,,2024-11-13,1,11.66,0.0,11.66
T00302,S014,P007,C0599,2024-04-17,2,17.83,0.0,35.66
T00303,S007,P023,C0727,2024-08-19,1,22.52,0.0,22.52
T00304,S012,P007,C1394,2024-12-17,1,18.88,0.0,18.88
T00305,S002,P017,C0405,2023-03-23,1,12.03,0.0,12.03
T00306,S011,P030,C1536,2024-11-13,2,52.43,0.0,104.86
T00307,S011,P001,C0778,2024-11-11,1,8.19,0.05,7.78
T00308,S014,P006,,2024-04-26,1,9.67,0.0,9.67
T00309,S015,P002,C1233,2024-12-30,2,11.96,0.0,23.92
T00310,S006,P009,C1016,2024-09-25,1,19.35,0.0,19.35
T00311,S004,P002,C1689,2024-09-04,1,11.76,0.0,11.76
T00312,S003,P004,C0672,2024-05-03,1,15.02,0.0,15.02
T00313,S011,P019,C0994,2024-12-11,1,13.49,0.0,13.49
T00314,S014,P026,C0867,2024-09-21,2,27.5,0.0,55.0
T00315,S006,P010,C1962,2022-10-05,1,15.37,0.0,15.37
T00316,S013,P002,,2024-09-07,1,11.68,0.0,11.68
T00317,S001,P018,C1454,2022-08-21,1,11.38,0.0,11.38
T00318,S014,P015,C0588,2024-04-04,1,12.9,0.0,12.9
T00319,S004,P023,C0533,2023-03-15,1,21.07,0.0,21.07
T00320,S015,P017,C1596,2024-12-27,1,11.9,0.0,11.9
T00321,S008,P020,C1118,2024-08-04,1,18.52,0.0,18.52
T00322,S012,P005,C0847,2024-11-24,1,15.52,0.05,14.74
T00323,S005,P012,,2023-06-15,2,9.57,0.0,19.14
T00324,S001,P003,,2023-12-16,2,13.33,0.0,26.66
T00325,S011,P014,C1562,2024-12-03,2,12.39,0.0,24.78
T00326,S008,P021,C0216,2024-11-28,3,12.5,0.0,37.5
T00327,S001,P025,C0169,2024-05-03,3,26.16,0.0,78.48
T00328,S011,P017,C0311,2024-11-17,2,12.54,0.0,25.08
T00329,S006,P023,C0324,2023-09-16,1,22.6,0.0,22.6
T00330,S013,P010,C1908,2024-07-29,1,16.22,0.0,16.22
T00331,S003,P015,C0547,2024-09-26,1,13.17,0.15,11.19
T00332,S015,P017,C1712,2024-12-27,1,12.53,0.0,12.53
T00333,S013,P006,C0450,2024-09-03,1,9.71,0.0,9.71
T00334,S013,P026,C1035,2024-09-15,1,28.0,0.05,26.6
T00335,S005,P024,C0135,2023-01-01,2,19.73,0.0,39.46
T00336,S005,P003,,2023-11-07,1,14.04,0.05,13.34
T00337,S009,P008,C0042,2023-12-05,2,17.77,0.0,35.54
T00338,S007,P003,,2023-12-15,1,14.4,0.0,14.4
T00339,S010,P005,C1127,2023-04-27,1,15.86,0.0,15.86
T00340,S003,P014,C1672,2023-12-23,2,12.15,0.0,24.3
T00341,S011,P005,C0851,2024-11-29,1,15.82,0.05,15.03
T00342,S014,P006,C0011,2024-10-02,2,10.12,0.0,20.24
T00343,S003,P016,C0981,2022-12-28,1,10.03,0.1,9.03
T00344,S001,P006,C0884,2024-10-02,1,9.94,0.0,9.94
T00345,S001,P012,C1536,2024-11-05,1,10.09,0.0,10.09
T00346,S011,P013,C0691,2024-12-24,1,13.76,0.0,13.76
T00347,S010,P019,C1845,2024-12-28,1,14.22,0.0,14.22
T00348,S004,P020,C0027,2023-09-30,2,18.71,0.0,37.42
T00349,S007,P019,,2024-08-29,1,14.58,0.0,14.58
T00350,S003,P011,,2024-04-14,1,10.34,0.0,10.34
T00351,S011,P014,C0488,2024-11-09,3,11.94,0.0,35.82
T00352,S006,P008,C1551,2023-09-30,1,17.48,0.0,17.48
T00353,S015,P023,C1677,2024-12-28,1,21.68,0.05,20.6
T00354,S011,P015,C1579,2024-11-18,1,12.79,0.0,12.79
T00355,S007,P004,,2024-02-10,2,14.47,0.0,28.94
T00356,S001,P004,C1811,2023-10-24,1,14.67,0.0,14.67
T00357,S004,P024,,2024-02-29,1,20.65,0.0,20.65
T00358,S004,P006,C0779,2024-12-18,1,10.35,0.0,10.35
T00359,S004,P003,C1155,2023-08-07,1,14.41,0.0,14.41
T00360,S007,P013,,2024-02-05,1,14.45,0.0,14.45
T00361,S005,P007,C0586,2023-04-10,1,18.27,0.0,18.27
T00362,S005,P018,C1806,2023-12-19,2,10.49,0.0,20.98
T00363,S003,P021,C0093,2023-07-28,2,12.62,0.0,25.24
T00364,S013,P012,C1513,2024-08-02,1,9.92,0.0,9.92
T00365,S013,P010,C1099,2024-10-18,1,15.78,0.0,15.78
T00366,S007,P009,C1804,2023-11-05,2,19.07,0.0,38.14
T00367,S001,P001,,2022-03-31,1,7.97,0.0,7.97
T00368,S011,P006,,2024-12-09,1,9.55,0.0,9.55
T00369,S004,P016,C0641,2023-06-29,1,9.74,0.0,9.74
T00370,S013,P021,C0898,2024-07-10,1,13.16,0.0,13.16
T00371,S003,P011,C0861,2023-11-19,2,10.4,0.0,20.8
T00372,S013,P014,C1988,2024-07-04,1,11.54,0.0,11.54
T00373,S001,P020,C0547,2023-05-03,1,18.52,0.0,18.52
T00374,S008,P002,C0590,2023-11-01,2,11.68,0.0,23.36
T00375,S001,P018,,2023-10-20,1,10.48,0.0,10.48
T00376,S005,P010,C1363,2023-08-11,3,15.33,0.0,45.99
T00377,S014,P001,C1037,2024-03-16,3,8.12,0.0,24.36
T00378,S007,P023,,2023-08-07,1,21.54,0.0,21.54
T00379,S003,P020,C0055,2024-06-04,3,18.79,0.0,56.37
T00380,S004,P009,C0719,2024-02-14,1,18.08,0.0,18.08
T00381,S011,P026,C0311,2024-11-10,1,27.85,0.15,23.67
T00382,S013,P025,C0917,2024-11-01,2,24.76,0.0,49.52
T00383,S002,P003,C1844,2022-07-10,1,13.71,0.0,13.71
T00384,S008,P013,C1540,2024-01-25,1,13.53,0.05,12.85
T00385,S010,P014,C0790,2024-11-17,1,11.95,0.0,11.95
T00386,S011,P010,C0537,2024-11-28,1,16.58,0.0,16.58
T00387,S009,P010,C1797,2024-10-21,1,16.3,0.0,16.3
T00388,S004,P004,C0986,2024-09-20,1,14.84,0.0,14.84
T00389,S001,P021,C1317,2022-06-21,1,13.57,0.0,13.57
T00390,S014,P012,C0186,2024-03-31,1,9.97,0.0,9.97
T00391,S011,P024,,2024-12-14,2,20.89,0.0,41.78
T00392,S011,P014,C1977,2024-12-22,1,11.76,0.0,11.76
T00393,S014,P002,,2024-10-26,1,11.9,0.0,11.9
T00394,S002,P007,C1134,2022-04-05,1,18.26,0.0,18.26
T00395,S004,P020,C0623,2024-05-30,1,18.46,0.0,18.46
T00396,S003,P004,C1351,2022-11-22,2,14.94,0.0,29.88
T00397,S006,P008,C0362,2022-09-03,1,17.16,0.05,16.3
T00398,S003,P001,C1506,2023-07-17,1,8.13,0.0,8.13
T00399,S010,P015,C1764,2024-09-06,1,13.58,0.0,13.58
T00400,S011,P006,C0941,2024-11-27,1,9.65,0.0,9.65
T00401,S002,P003,C1239,2023-11-10,1,14.04,0.0,14.04
T00402,S010,P009,C0413,2023-06-14,1,18.64,0.0,18.64
T00403,S009,P014,,2023-08-14,1,12.16,0.05,11.55
T00404,S011,P011,C0554,2024-12-01,1,10.45,0.0,10.45
